,33A,51A,57A,37A,129A,130A,38A,55A,44A,48A,46A,52A,53A,34A,35A,49A,50A,30A,31A,32A,54A,36A,41A,136A,137A,138A,137B,136B,43A,45A,42A,39A,40A,131A
ckr,9.0,9.0,1.0,5.0,,,5.0,1.0,6.0,3,1.0,,1.0,,2,1.0,1.0,1.0,1.0,1.0,,,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,4,4,
arp,2.0,9.0,,,,,1.0,,2.0,1,,2.0,1.0,,5,1.0,1.0,5.0,2.0,3.0,,2.0,2.0,1.0,1.0,,1.0,1.0,4.0,1.0,1.0,3,3,
bsq,8.0,6.0,4.0,1.0,2.0,2.0,2.0,1.0,6.0,2,1.0,2.0,6.0,6.0,4,8.0,6.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3,3,2.0
war,7.0,9.0,2.0,5.0,,,5.0,1.0,2.0,4,,,1.0,,1,1.0,1.0,3.0,2.0,2.0,1.0,,3.0,1.0,2.0,,2.0,1.0,1.0,1.0,2.0,5,5,6.0
kse,8.0,9.0,4.0,1.0,,,4.0,,6.0,2,2.0,,5.0,,4,1.0,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3,1,1.0
may,9.0,2.0,1.0,1.0,,,4.0,2.0,3.0,4,2.0,,5.0,1.0,4,2.0,2.0,2.0,2.0,2.0,1.0,,3.0,1.0,1.0,,1.0,1.0,5.0,1.0,1.0,3,3,
mao,7.0,9.0,4.0,1.0,1.0,2.0,1.0,,6.0,2,4.0,2.0,4.0,6.0,5,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,,,2.0,,,3.0,1.0,1.0,5,1,1.0
mun,2.0,9.0,2.0,5.0,,,5.0,,3.0,2,1.0,2.0,3.0,,3,7.0,2.0,2.0,3.0,2.0,2.0,,,1.0,1.0,,2.0,1.0,1.0,,,5,5,
tag,7.0,,,,2.0,2.0,,1.0,6.0,1,5.0,2.0,6.0,4.0,4,1.0,3.0,2.0,2.0,2.0,7.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,5,1,1.0
mei,,6.0,1.0,2.0,,,2.0,,6.0,2,1.0,2.0,5.0,,8,6.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,3,1,2.0
orh,9.0,1.0,4.0,5.0,,,5.0,1.0,3.0,2,2.0,2.0,6.0,2.0,4,6.0,4.0,2.0,2.0,3.0,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,3,1.0
ond,6.0,1.0,1.0,1.0,2.0,1.0,4.0,,6.0,1,,,,,2,1.0,1.0,3.0,2.0,2.0,,4.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2,5,1.0
mau,7.0,9.0,1.0,,,,,1.0,2.0,2,,,,,5,1.0,3.0,5.0,2.0,2.0,,,3.0,1.0,1.0,,1.0,1.0,5.0,1.0,1.0,5,5,
coo,6.0,6.0,4.0,1.0,,,4.0,1.0,6.0,1,1.0,3.0,,3.0,3,7.0,2.0,1.0,1.0,1.0,,,2.0,1.0,1.0,,1.0,1.0,,,,5,5,
imo,9.0,6.0,4.0,5.0,,,5.0,1.0,6.0,2,,2.0,1.0,1.0,2,5.0,2.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,4,1,6.0
lav,2.0,1.0,1.0,1.0,,,2.0,,2.0,4,2.0,,,6.0,4,1.0,1.0,3.0,2.0,3.0,,4.0,3.0,1.0,1.0,,1.0,1.0,2.0,1.0,2.0,5,5,1.0
eve,2.0,1.0,2.0,5.0,2.0,2.0,5.0,1.0,6.0,3,1.0,2.0,7.0,6.0,7,8.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,,,1.0,,,1.0,1.0,1.0,5,5,1.0
ame,6.0,9.0,2.0,4.0,,,1.0,1.0,6.0,2,2.0,2.0,5.0,3.0,5,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,3,3,
aeg,6.0,9.0,2.0,3.0,,,4.0,1.0,1.0,3,2.0,2.0,6.0,6.0,4,1.0,1.0,2.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,3,3,1.0
yim,2.0,1.0,,5.0,,,5.0,1.0,6.0,3,,,6.0,6.0,4,9.0,4.0,5.0,2.0,3.0,1.0,,3.0,3.0,1.0,,2.0,2.0,2.0,1.0,1.0,3,3,3.0
sla,2.0,9.0,1.0,5.0,2.0,2.0,5.0,,6.0,3,2.0,2.0,6.0,,4,1.0,1.0,,,,,3.0,2.0,1.0,1.0,,1.0,1.0,6.0,1.0,1.0,3,3,1.0
ala,8.0,6.0,4.0,1.0,,,4.0,1.0,3.0,2,,2.0,6.0,6.0,6,7.0,2.0,2.0,2.0,2.0,,3.0,2.0,1.0,1.0,,1.0,1.0,5.0,1.0,1.0,3,3,3.0
lan,2.0,9.0,,4.0,,,3.0,1.0,6.0,3,2.0,3.0,3.0,3.0,3,1.0,1.0,1.0,1.0,1.0,,4.0,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,3,3,1.0
hmo,,9.0,,,,,2.0,,6.0,2,1.0,,,1.0,4,1.0,1.0,1.0,1.0,1.0,,,3.0,1.0,1.0,,1.0,1.0,,1.0,1.0,3,1,1.0
rus,2.0,1.0,4.0,5.0,1.0,2.0,5.0,1.0,3.0,2,1.0,3.0,7.0,6.0,6,6.0,6.0,3.0,2.0,3.0,5.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,,2.0,1.0,3,3,1.0
koa,8.0,6.0,1.0,1.0,2.0,2.0,,,6.0,3,1.0,2.0,6.0,2.0,3,6.0,2.0,1.0,1.0,1.0,,,5.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,3,3,1.0
niv,2.0,1.0,1.0,,,,,3.0,6.0,3,1.0,2.0,3.0,4.0,8,7.0,2.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0,,1.0,1.0,6.0,,3.0,5,1,1.0
gua,7.0,9.0,1.0,1.0,2.0,2.0,4.0,1.0,6.0,3,4.0,2.0,5.0,2.0,4,1.0,1.0,1.0,1.0,1.0,,4.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,5,5,1.0
heb,2.0,7.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,3,1.0,1.0,6.0,6.0,4,1.0,1.0,2.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3,3,1.0
lat,2.0,1.0,4.0,2.0,,,2.0,1.0,2.0,2,1.0,1.0,7.0,6.0,4,5.0,6.0,2.0,2.0,3.0,5.0,,2.0,,,2.0,,,5.0,2.0,1.0,3,3,1.0
yor,7.0,9.0,4.0,5.0,,,5.0,1.0,6.0,2,2.0,2.0,4.0,4.0,4,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3,1,3.0
kha,6.0,1.0,2.0,5.0,1.0,2.0,5.0,1.0,6.0,2,,2.0,5.0,4.0,8,7.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3,1,1.0
kob,2.0,9.0,1.0,4.0,,,1.0,1.0,6.0,2,2.0,2.0,1.0,3.0,4,1.0,3.0,1.0,1.0,1.0,,,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,3,3,5.0
prh,9.0,1.0,,5.0,,,5.0,1.0,2.0,2,4.0,2.0,,1.0,2,9.0,2.0,4.0,2.0,2.0,,,2.0,1.0,1.0,,1.0,1.0,3.0,1.0,1.0,1,1,6.0
jpn,2.0,6.0,4.0,4.0,1.0,2.0,1.0,3.0,2.0,2,1.0,2.0,4.0,2.0,8,7.0,2.0,,,,4.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,3,1,1.0
tha,,9.0,4.0,4.0,2.0,2.0,1.0,3.0,6.0,2,1.0,2.0,5.0,,4,1.0,1.0,1.0,1.0,1.0,1.0,4.0,,,,1.0,,,1.0,4.0,,2,1,1.0
knd,2.0,1.0,4.0,,2.0,2.0,2.0,1.0,2.0,2,1.0,2.0,5.0,5.0,7,6.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,,2.0,1.0,3.0,3.0,3.0,3,3,1.0
juh,8.0,9.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,2,,1.0,,6.0,5,1.0,1.0,5.0,3.0,3.0,,,3.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,,5,1,
grk,2.0,1.0,4.0,1.0,2.0,2.0,2.0,,3.0,2,1.0,1.0,7.0,6.0,5,3.0,6.0,3.0,2.0,3.0,5.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,,2.0,1.0,3,3,1.0
yaq,2.0,1.0,4.0,4.0,,,1.0,,6.0,2,1.0,2.0,4.0,6.0,4,2.0,2.0,1.0,1.0,1.0,,2.0,,1.0,2.0,,2.0,1.0,1.0,1.0,,3,1,2.0
mnd,2.0,9.0,4.0,,2.0,2.0,,3.0,3.0,2,4.0,2.0,4.0,2.0,8,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,5,1,1.0
cmn,2.0,1.0,4.0,2.0,2.0,2.0,4.0,,6.0,2,1.0,2.0,,3.0,7,3.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,,,,,,,1.0,1.0,5,1,1.0
bag,8.0,9.0,2.0,1.0,,,4.0,,6.0,3,2.0,2.0,,6.0,6,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,2.0,1.0,1.0,,3,1,1.0
rap,7.0,9.0,,1.0,2.0,2.0,2.0,1.0,6.0,2,,2.0,6.0,4.0,5,1.0,1.0,1.0,1.0,1.0,,3.0,3.0,1.0,1.0,,1.0,1.0,3.0,1.0,1.0,5,1,1.0
wch,2.0,9.0,1.0,1.0,2.0,2.0,4.0,,6.0,1,,2.0,,,8,1.0,1.0,,,,,1.0,,1.0,2.0,,2.0,1.0,,1.0,,3,2,6.0
squ,,7.0,3.0,1.0,1.0,2.0,1.0,,6.0,1,1.0,,7.0,,4,2.0,6.0,,,,,,,1.0,1.0,,1.0,1.0,,,,3,3,
hix,7.0,9.0,1.0,5.0,,,5.0,1.0,2.0,3,,2.0,1.0,2.0,4,1.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,,2.0,1.0,2.0,1.0,1.0,5,5,6.0
zul,1.0,2.0,,5.0,2.0,2.0,5.0,1.0,2.0,2,,,6.0,6.0,4,1.0,1.0,5.0,3.0,3.0,,1.0,,1.0,1.0,3.0,1.0,2.0,5.0,1.0,,3,3,1.0
qim,2.0,1.0,4.0,5.0,,,5.0,1.0,6.0,2,1.0,1.0,5.0,6.0,4,7.0,2.0,1.0,1.0,1.0,,4.0,,1.0,1.0,,1.0,1.0,6.0,2.0,,3,3,1.0
nen,2.0,1.0,2.0,,,,,1.0,6.0,3,1.0,3.0,7.0,,8,6.0,4.0,1.0,1.0,1.0,4.0,,,2.0,1.0,,1.0,2.0,,,,3,3,1.0
vie,7.0,9.0,4.0,1.0,,,,3.0,6.0,2,1.0,,8.0,4.0,7,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,,2,1,1.0
geo,2.0,1.0,4.0,,1.0,2.0,,1.0,6.0,2,1.0,3.0,6.0,6.0,5,6.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,3,2,2.0
kfe,2.0,9.0,4.0,1.0,1.0,2.0,4.0,1.0,2.0,3,2.0,,,6.0,3,1.0,1.0,3.0,3.0,2.0,,,1.0,,,,,,1.0,2.0,1.0,3,1,1.0
myi,2.0,5.0,2.0,1.0,2.0,2.0,,1.0,6.0,1,1.0,2.0,1.0,,6,7.0,5.0,3.0,2.0,2.0,,2.0,,1.0,1.0,,1.0,1.0,2.0,1.0,,5,5,6.0
dag,,1.0,2.0,5.0,,,5.0,,6.0,2,,,,,4,9.0,3.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,,3,2,3.0
ram,8.0,9.0,1.0,1.0,1.0,2.0,1.0,,6.0,3,,,,3.0,5,7.0,6.0,1.0,1.0,1.0,,,2.0,1.0,2.0,,2.0,1.0,2.0,1.0,,3,3,6.0
ger,2.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,3.0,2,4.0,1.0,6.0,6.0,4,4.0,6.0,3.0,2.0,3.0,5.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,2.0,1.0,3,3,1.0
tuk,9.0,9.0,4.0,2.0,,,4.0,2.0,6.0,2,,,3.0,,4,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,,1.0,1.0,1.0,3.0,1.0,3,3,1.0
khs,7.0,9.0,4.0,5.0,,,5.0,,3.0,2,1.0,2.0,6.0,,7,1.0,1.0,2.0,2.0,2.0,,,3.0,,,1.0,,,2.0,2.0,1.0,3,1,
nug,1.0,1.0,,5.0,2.0,1.0,5.0,1.0,1.0,1,1.0,,1.0,,5,8.0,3.0,5.0,2.0,3.0,,2.0,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,5,5,
eng,2.0,9.0,4.0,1.0,2.0,2.0,1.0,1.0,3.0,2,2.0,1.0,7.0,6.0,4,2.0,3.0,3.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3,2,1.0
swa,1.0,5.0,2.0,2.0,1.0,2.0,,1.0,2.0,2,2.0,2.0,7.0,6.0,4,1.0,1.0,5.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,3,3,1.0
tru,7.0,1.0,3.0,,,,,,3.0,2,2.0,2.0,1.0,3.0,8,5.0,2.0,,,,,,2.0,1.0,1.0,,1.0,1.0,5.0,,1.0,2,1,
