,33A,51A,57A,37A,129A,130A,38A,55A,44A,48A,46A,52A,53A,34A,35A,49A,50A,30A,31A,32A,54A,36A,41A,136A,137A,138A,137B,136B,43A,45A,42A,39A,40A,131A
cre,2.0,1.0,1.0,,2.0,2.0,,1.0,3.0,1,,,,6.0,3,9.0,2.0,2.0,3.0,2.0,,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,5,4,1.0
apu,2.0,6.0,1.0,5.0,,,5.0,1.0,3.0,1,,,1.0,6.0,3,9.0,2.0,2.0,2.0,3.0,,4.0,2.0,1.0,1.0,,2.0,1.0,5.0,1.0,1.0,3,3,
grw,2.0,1.0,2.0,5.0,,,5.0,,6.0,3,1.0,2.0,7.0,6.0,4,7.0,6.0,1.0,1.0,1.0,,2.0,3.0,3.0,1.0,,2.0,2.0,4.0,1.0,1.0,3,3,2.0
ewe,8.0,9.0,2.0,2.0,,,1.0,,6.0,3,2.0,1.0,6.0,,6,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,,,2.0,,,,1.0,,3,1,1.0
yko,2.0,1.0,2.0,5.0,,,5.0,1.0,6.0,2,1.0,2.0,6.0,,7,7.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,1.0,2.0,1.0,1.0,2.0,3,3,1.0
kro,1.0,2.0,4.0,5.0,1.0,2.0,5.0,,3.0,2,,2.0,2.0,6.0,4,6.0,6.0,,,,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,5,5,3.0
hau,2.0,9.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3,2.0,1.0,6.0,6.0,5,1.0,1.0,2.0,2.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,1,1.0
arm,2.0,1.0,2.0,3.0,,,1.0,1.0,6.0,2,,2.0,6.0,6.0,5,5.0,3.0,1.0,1.0,1.0,7.0,4.0,,,,2.0,,,3.0,2.0,,3,3,1.0
ngi,2.0,1.0,4.0,5.0,2.0,1.0,5.0,1.0,6.0,1,1.0,2.0,1.0,4.0,4,5.0,5.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,5,1,
mrt,2.0,1.0,2.0,,2.0,2.0,,1.0,6.0,1,1.0,2.0,1.0,,5,8.0,6.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,5,1,6.0
map,7.0,1.0,4.0,1.0,2.0,2.0,4.0,1.0,6.0,2,,2.0,5.0,1.0,4,2.0,2.0,1.0,1.0,1.0,,,3.0,1.0,2.0,,2.0,1.0,4.0,1.0,2.0,2,3,1.0
san,1.0,9.0,4.0,1.0,,,,,6.0,2,2.0,1.0,,,4,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,,3,1,1.0
grb,2.0,9.0,4.0,5.0,,,5.0,,2.0,2,,,6.0,6.0,4,1.0,1.0,3.0,3.0,2.0,,,,2.0,3.0,,2.0,2.0,5.0,1.0,,3,1,
asm,2.0,9.0,4.0,2.0,,,,,6.0,2,,,,,7,1.0,1.0,1.0,1.0,1.0,,3.0,4.0,1.0,3.0,,2.0,1.0,4.0,1.0,,3,3,
yag,2.0,1.0,1.0,5.0,,,5.0,3.0,6.0,4,3.0,,,,4,9.0,2.0,,,,,2.0,2.0,1.0,1.0,,1.0,1.0,6.0,1.0,1.0,5,5,1.0
luv,1.0,,2.0,5.0,,,5.0,,2.0,2,,,6.0,6.0,4,1.0,1.0,5.0,3.0,3.0,,1.0,,1.0,1.0,,2.0,2.0,5.0,2.0,,3,3,1.0
snm,7.0,6.0,4.0,,,,,2.0,6.0,2,,,,,7,2.0,3.0,,,,,,3.0,1.0,1.0,,1.0,2.0,,1.0,,5,1,
spa,2.0,9.0,4.0,1.0,2.0,2.0,2.0,,1.0,2,3.0,,7.0,6.0,5,1.0,3.0,2.0,2.0,3.0,1.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3,3,1.0
fin,2.0,1.0,2.0,5.0,2.0,2.0,5.0,1.0,6.0,3,3.0,2.0,7.0,6.0,4,8.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3,3,1.0
mxc,7.0,9.0,4.0,5.0,,,5.0,1.0,6.0,3,,,1.0,4.0,8,1.0,1.0,5.0,2.0,2.0,,4.0,2.0,1.0,1.0,,1.0,1.0,1.0,2.0,,4,4,2.0
kio,2.0,1.0,1.0,5.0,1.0,2.0,5.0,1.0,6.0,1,1.0,,,,2,9.0,2.0,,,,,,2.0,1.0,2.0,,2.0,1.0,,1.0,1.0,2,5,
prs,2.0,9.0,4.0,4.0,,,,2.0,3.0,3,2.0,1.0,5.0,,4,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,6.0,2.0,3.0,3,3,1.0
pai,,9.0,,,,,,,6.0,2,,2.0,4.0,,4,1.0,3.0,1.0,1.0,1.0,,,2.0,1.0,1.0,,1.0,1.0,,1.0,1.0,5,1,1.0
bur,2.0,1.0,1.0,2.0,2.0,2.0,,1.0,3.0,3,1.0,2.0,6.0,6.0,4,7.0,3.0,4.0,2.0,2.0,2.0,,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,3,3,2.0
mal,9.0,7.0,4.0,1.0,2.0,2.0,4.0,1.0,6.0,3,2.0,,6.0,,4,1.0,3.0,1.0,1.0,1.0,6.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,5,1,1.0
fre,2.0,7.0,4.0,1.0,2.0,2.0,2.0,1.0,3.0,2,2.0,1.0,7.0,6.0,6,1.0,1.0,2.0,2.0,3.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,2.0,2.0,3,3,1.0
tiw,2.0,9.0,4.0,5.0,2.0,,5.0,1.0,3.0,2,1.0,,1.0,3.0,4,1.0,1.0,2.0,2.0,2.0,4.0,,2.0,1.0,1.0,3.0,1.0,1.0,,1.0,1.0,5,5,
kew,2.0,6.0,4.0,5.0,2.0,2.0,5.0,1.0,6.0,2,,,8.0,,4,6.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,3,3,
aco,2.0,,1.0,5.0,,,5.0,1.0,,2,1.0,2.0,5.0,4.0,1,1.0,1.0,1.0,1.0,1.0,,4.0,3.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1,2,1.0
tab,8.0,9.0,,5.0,,,5.0,3.0,6.0,2,1.0,,5.0,3.0,4,1.0,1.0,1.0,1.0,1.0,,,,,,,,,2.0,2.0,,5,5,1.0
kor,2.0,1.0,,5.0,2.0,2.0,5.0,3.0,3.0,2,1.0,2.0,4.0,,6,6.0,2.0,,,,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3,1,1.0
hun,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,6.0,3,1.0,3.0,7.0,6.0,4,8.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,6.0,3.0,1.0,3,3,1.0
bma,6.0,2.0,2.0,,,,,,1.0,3,,2.0,6.0,,5,2.0,4.0,2.0,2.0,3.0,,,,1.0,3.0,3.0,2.0,1.0,1.0,1.0,,3,3,1.0
dni,,1.0,1.0,5.0,,,5.0,,6.0,3,,2.0,,,5,6.0,2.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,3.0,1.0,,3,3,
lkt,7.0,9.0,1.0,1.0,,,1.0,1.0,6.0,3,1.0,2.0,6.0,,3,1.0,1.0,,,,,4.0,3.0,2.0,1.0,,1.0,2.0,1.0,1.0,1.0,3,3,1.0
mar,3.0,6.0,1.0,1.0,,,4.0,1.0,6.0,1,1.0,,,2.0,2,6.0,2.0,1.0,1.0,1.0,4.0,,5.0,1.0,1.0,,2.0,1.0,2.0,1.0,1.0,2,2,
khm,7.0,9.0,4.0,1.0,1.0,,,2.0,6.0,2,4.0,2.0,4.0,4.0,4,1.0,1.0,1.0,1.0,1.0,,,,,,2.0,,,,4.0,,3,1,1.0
knr,2.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,2,,2.0,5.0,6.0,5,6.0,4.0,1.0,1.0,1.0,,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,,3,3,1.0
goo,8.0,8.0,2.0,1.0,2.0,,,1.0,6.0,2,1.0,2.0,1.0,,6,8.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,,5,5,6.0
fij,,9.0,2.0,5.0,2.0,2.0,5.0,1.0,6.0,4,,2.0,6.0,,5,1.0,1.0,1.0,1.0,1.0,3.0,,3.0,1.0,1.0,,2.0,1.0,1.0,2.0,1.0,5,1,1.0
hin,2.0,1.0,,5.0,,,5.0,1.0,6.0,2,3.0,2.0,6.0,6.0,4,,,2.0,2.0,3.0,2.0,4.0,,2.0,1.0,1.0,1.0,2.0,2.0,3.0,,3,1,1.0
sup,2.0,9.0,4.0,3.0,,,1.0,1.0,2.0,2,,3.0,6.0,6.0,4,9.0,2.0,5.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,,2.0,2.0,2.0,1.0,1.0,3,1,4.0
krk,2.0,6.0,1.0,1.0,2.0,1.0,,1.0,6.0,2,1.0,2.0,,,4,3.0,4.0,1.0,1.0,1.0,,,,1.0,2.0,3.0,2.0,1.0,,1.0,,3,3,1.0
wic,9.0,1.0,1.0,,2.0,2.0,,,6.0,1,1.0,,,,3,9.0,2.0,1.0,1.0,1.0,,4.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,5,4,
ket,2.0,1.0,1.0,5.0,,,5.0,,6.0,4,1.0,1.0,5.0,6.0,6,8.0,2.0,3.0,2.0,2.0,4.0,,3.0,1.0,1.0,3.0,1.0,2.0,,,3.0,3,3,1.0
shk,2.0,6.0,4.0,5.0,2.0,2.0,5.0,1.0,6.0,2,1.0,,,4.0,4,6.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,3,1,
lez,2.0,1.0,4.0,4.0,1.0,2.0,2.0,1.0,6.0,2,1.0,2.0,4.0,6.0,4,8.0,6.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,,1.0,1.0,4.0,1.0,3.0,3,1,2.0
kut,1.0,9.0,2.0,1.0,2.0,2.0,4.0,1.0,6.0,1,1.0,,,3.0,4,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,,1.0,1.0,,1.0,1.0,3,2,1.0
klv,6.0,9.0,2.0,5.0,,,5.0,3.0,3.0,3,4.0,2.0,8.0,,4,1.0,1.0,1.0,1.0,1.0,1.0,,3.0,,,,,,4.0,1.0,1.0,5,5,1.0
ain,2.0,9.0,1.0,,1.0,,,2.0,6.0,3,1.0,2.0,1.0,4.0,3,9.0,2.0,1.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,5,5,3.0
tur,2.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,6.0,2,2.0,1.0,5.0,6.0,8,6.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,3,3,1.0
hzb,2.0,1.0,4.0,5.0,,,5.0,1.0,6.0,2,1.0,2.0,4.0,6.0,4,8.0,6.0,5.0,2.0,2.0,2.0,,3.0,,,,,,2.0,,3.0,3,1,1.0
wra,2.0,,1.0,,2.0,2.0,,,6.0,2,4.0,2.0,3.0,,4,5.0,3.0,1.0,1.0,1.0,1.0,,3.0,1.0,1.0,,1.0,2.0,4.0,1.0,2.0,3,1,3.0
irq,2.0,9.0,2.0,5.0,,,5.0,1.0,4.0,2,2.0,3.0,3.0,6.0,4,9.0,2.0,2.0,2.0,3.0,2.0,,4.0,,,,,,1.0,1.0,2.0,3,3,1.0
kay,9.0,1.0,,1.0,,,2.0,,6.0,1,1.0,2.0,1.0,1.0,5,8.0,2.0,1.0,1.0,1.0,7.0,3.0,2.0,1.0,1.0,,1.0,1.0,6.0,1.0,1.0,5,1,6.0
pau,9.0,6.0,3.0,5.0,,,5.0,1.0,3.0,2,,,,,3,3.0,4.0,4.0,2.0,2.0,,3.0,3.0,1.0,1.0,,1.0,1.0,2.0,,1.0,3,3,
cha,7.0,,2.0,1.0,1.0,2.0,,1.0,6.0,3,,,6.0,2.0,4,1.0,1.0,1.0,1.0,1.0,7.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5,1,1.0
epe,8.0,6.0,4.0,1.0,,,4.0,1.0,6.0,2,,,,3.0,4,8.0,2.0,1.0,1.0,1.0,,,2.0,,,,,,1.0,,3.0,3,1,
jak,7.0,9.0,1.0,4.0,1.0,2.0,2.0,3.0,6.0,4,1.0,2.0,5.0,4.0,3,1.0,1.0,,,,,,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,,3,3,2.0
chk,2.0,1.0,4.0,5.0,,,5.0,1.0,6.0,2,1.0,2.0,5.0,6.0,7,8.0,4.0,1.0,1.0,1.0,7.0,1.0,3.0,2.0,1.0,,1.0,2.0,1.0,1.0,1.0,3,3,3.0
brm,7.0,1.0,,5.0,,,5.0,3.0,3.0,2,,,8.0,,2,7.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,,2,1,1.0
awp,2.0,6.0,4.0,5.0,2.0,2.0,5.0,,6.0,2,1.0,,1.0,,4,8.0,4.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,6.0,1.0,,3,2,6.0
kho,2.0,9.0,,,,,3.0,1.0,1.0,2,,1.0,6.0,,3,2.0,2.0,3.0,2.0,3.0,,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,2.0,,5,1,1.0
hai,2.0,6.0,4.0,3.0,2.0,2.0,4.0,2.0,6.0,2,,3.0,,,6,1.0,3.0,1.0,1.0,1.0,4.0,,,1.0,1.0,,1.0,1.0,,,,3,1,1.0
abk,2.0,9.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,4,3.0,2.0,5.0,6.0,4,2.0,2.0,3.0,2.0,2.0,7.0,2.0,2.0,1.0,1.0,,2.0,1.0,,,1.0,5,3,2.0
ind,5.0,9.0,4.0,2.0,2.0,2.0,4.0,2.0,6.0,2,2.0,3.0,5.0,4.0,4,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,5,1,1.0
