,83A,82A,81A,87A,143F,143E,143A,143G,97A,86A,88A,144A,85A,89A,95A,93A,92A,96A,90A,94A,90C,144B,144L,84A,144S,91A,144D,144J,144K,144I,144H,144R,144P,144Q,90B
cre,2,3,7.0,,4.0,1.0,1.0,4.0,,,1.0,21.0,5.0,,,,3.0,,,,,3.0,,6.0,,,,,,,,,,,
apu,3,1,2.0,2.0,4.0,1.0,1.0,4.0,5.0,1.0,1.0,16.0,1.0,1.0,5.0,1.0,6.0,5.0,1.0,1.0,1.0,,,6.0,,,13.0,7.0,4.0,1.0,1.0,,,,
grw,1,1,1.0,2.0,2.0,4.0,4.0,4.0,2.0,1.0,6.0,20.0,1.0,2.0,1.0,2.0,6.0,2.0,1.0,,1.0,,6.0,4.0,2.0,1.0,,,,,,8.0,4.0,4.0,
ewe,2,1,2.0,2.0,1.0,1.0,14.0,4.0,4.0,1.0,2.0,18.0,1.0,2.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,,,,,,14.0,7.0,3.0,5.0,4.0,,,,
yko,1,1,1.0,1.0,4.0,2.0,3.0,4.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,2.0,6.0,1.0,2.0,2.0,,,5.0,,11.0,,,,,,,2.0,4.0,4.0,1.0
kro,2,2,3.0,2.0,1.0,1.0,14.0,4.0,4.0,2.0,2.0,18.0,,2.0,,2.0,6.0,4.0,1.0,1.0,1.0,,,1.0,,3.0,,,,,,,,,
hau,2,1,2.0,1.0,1.0,1.0,15.0,4.0,3.0,2.0,6.0,19.0,2.0,2.0,4.0,3.0,2.0,4.0,1.0,1.0,1.0,3.0,,1.0,,2.0,15.0,7.0,3.0,3.0,4.0,,,,
arm,3,1,7.0,1.0,4.0,3.0,7.0,4.0,5.0,1.0,1.0,16.0,1.0,1.0,5.0,2.0,6.0,5.0,7.0,1.0,2.0,,15.0,6.0,11.0,1.0,13.0,7.0,4.0,1.0,4.0,7.0,4.0,4.0,2.0
ngi,1,1,,3.0,4.0,1.0,1.0,4.0,5.0,1.0,1.0,21.0,5.0,,,1.0,3.0,5.0,7.0,,,1.0,23.0,6.0,,,,,,,,,,,
mrt,2,1,2.0,2.0,4.0,1.0,1.0,4.0,4.0,3.0,1.0,2.0,5.0,1.0,,1.0,6.0,5.0,5.0,,,3.0,,1.0,,,2.0,7.0,4.0,1.0,4.0,,,,
map,2,2,2.0,1.0,2.0,4.0,4.0,4.0,3.0,1.0,1.0,20.0,4.0,1.0,5.0,2.0,,,,,,,,6.0,,1.0,6.0,2.0,4.0,8.0,4.0,,,,
san,2,1,2.0,1.0,1.0,4.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,6.0,,1.0,,2.0,4.0,7.0,1.0,8.0,4.0,,,,
grb,2,1,2.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,2.0,6.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,,1.0,2.0,7.0,1.0,11.0,,,,,,,8.0,4.0,1.0,
asm,1,1,1.0,2.0,1.0,4.0,2.0,4.0,2.0,1.0,1.0,8.0,5.0,2.0,,2.0,2.0,1.0,2.0,2.0,,4.0,4.0,,1.0,2.0,,,,,,8.0,4.0,4.0,1.0
yag,2,2,7.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,21.0,1.0,1.0,3.0,1.0,3.0,4.0,1.0,5.0,1.0,3.0,,,,1.0,,,,,,,,,
luv,2,1,2.0,2.0,1.0,3.0,14.0,4.0,4.0,2.0,2.0,18.0,2.0,2.0,4.0,2.0,,4.0,1.0,1.0,1.0,6.0,,1.0,,,14.0,7.0,2.0,5.0,4.0,,,,
snm,1,1,1.0,2.0,1.0,4.0,2.0,4.0,2.0,1.0,1.0,8.0,1.0,,1.0,2.0,6.0,5.0,7.0,2.0,,4.0,4.0,3.0,1.0,2.0,,,,,,8.0,4.0,4.0,
spa,2,3,2.0,2.0,4.0,1.0,1.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,6.0,4.0,1.0,1.0,1.0,3.0,,1.0,,1.0,2.0,7.0,4.0,1.0,4.0,,,,
fin,2,1,2.0,1.0,4.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,,1.0,,1.0,2.0,7.0,4.0,1.0,4.0,,,,
mxc,2,2,3.0,2.0,4.0,1.0,1.0,4.0,4.0,2.0,2.0,9.0,2.0,1.0,4.0,1.0,6.0,4.0,1.0,1.0,1.0,3.0,,1.0,,3.0,,,,,,,,,
kio,1,1,1.0,,2.0,1.0,14.0,4.0,,1.0,1.0,18.0,5.0,1.0,,1.0,1.0,5.0,3.0,4.0,,1.0,16.0,,6.0,,,,,,,8.0,3.0,4.0,
prs,1,1,1.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,1.0,20.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,,5.0,,11.0,1.0,,,,,,2.0,4.0,4.0,
pai,2,2,7.0,2.0,4.0,1.0,1.0,4.0,4.0,2.0,1.0,16.0,2.0,2.0,4.0,1.0,6.0,4.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,
bur,1,1,1.0,1.0,4.0,2.0,3.0,4.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,2.0,6.0,1.0,2.0,5.0,,,5.0,,11.0,1.0,,,,,,2.0,4.0,4.0,1.0
mal,2,2,4.0,2.0,4.0,1.0,1.0,4.0,4.0,2.0,5.0,12.0,2.0,2.0,4.0,1.0,5.0,4.0,1.0,1.0,1.0,3.0,,1.0,,,,,,,,,,,
fre,2,1,2.0,2.0,1.0,1.0,15.0,4.0,4.0,2.0,1.0,19.0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,,1.0,,1.0,15.0,3.0,4.0,5.0,4.0,,,,
tiw,2,1,2.0,1.0,4.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,4.0,3.0,2.0,4.0,1.0,1.0,1.0,3.0,,1.0,,,2.0,7.0,4.0,1.0,4.0,,,,
kew,1,1,1.0,1.0,4.0,2.0,3.0,4.0,1.0,1.0,1.0,20.0,1.0,2.0,1.0,2.0,2.0,5.0,7.0,2.0,,,5.0,,11.0,,,,,,,2.0,4.0,4.0,3.0
aco,3,1,7.0,3.0,2.0,1.0,8.0,4.0,5.0,1.0,1.0,,1.0,3.0,5.0,,,5.0,,1.0,,,,6.0,,,,,,,,,,,
tab,2,1,2.0,2.0,1.0,4.0,2.0,4.0,4.0,1.0,2.0,4.0,2.0,2.0,4.0,2.0,6.0,4.0,1.0,1.0,1.0,6.0,,1.0,,3.0,4.0,7.0,1.0,8.0,4.0,,,,
kor,1,1,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,6.0,1.0,2.0,2.0,,3.0,3.0,,11.0,1.0,,,,,,1.0,4.0,4.0,1.0
hun,2,1,7.0,1.0,4.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,,5.0,7.0,1.0,2.0,3.0,,,,1.0,10.0,7.0,4.0,1.0,4.0,,,,2.0
bma,2,2,3.0,2.0,,,,,4.0,2.0,6.0,,2.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,
dni,1,1,1.0,,1.0,4.0,2.0,4.0,,1.0,2.0,8.0,1.0,,1.0,,6.0,2.0,1.0,5.0,1.0,4.0,4.0,,1.0,,,,,,,8.0,4.0,4.0,
lkt,1,1,1.0,2.0,1.0,4.0,2.0,4.0,2.0,3.0,6.0,8.0,1.0,2.0,1.0,2.0,2.0,5.0,3.0,,,4.0,4.0,,1.0,1.0,,,,,,8.0,4.0,4.0,
mar,1,1,1.0,2.0,2.0,2.0,14.0,4.0,2.0,1.0,2.0,18.0,1.0,2.0,1.0,,6.0,5.0,7.0,5.0,3.0,,16.0,,6.0,,,,,,,6.0,4.0,4.0,
khm,2,1,2.0,2.0,4.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,,,,2.0,2.0,7.0,4.0,1.0,4.0,,,,
knr,1,1,1.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,20.0,1.0,2.0,1.0,1.0,6.0,2.0,1.0,5.0,1.0,,6.0,4.0,2.0,2.0,,,,,,8.0,4.0,4.0,
goo,1,1,7.0,2.0,4.0,1.0,1.0,4.0,2.0,3.0,1.0,21.0,3.0,1.0,5.0,,,,,,,3.0,22.0,6.0,,,,,,,,,,,
fij,2,2,7.0,2.0,4.0,1.0,1.0,4.0,4.0,2.0,2.0,16.0,2.0,1.0,4.0,2.0,6.0,4.0,1.0,1.0,1.0,3.0,,6.0,,3.0,,,,,,,,,
hin,1,1,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,1.0,5.0,4.0,1.0,,3.0,3.0,,11.0,1.0,,,,,,1.0,4.0,4.0,
sup,1,1,1.0,2.0,1.0,1.0,15.0,4.0,2.0,1.0,1.0,19.0,1.0,2.0,1.0,3.0,2.0,5.0,4.0,1.0,,4.0,17.0,5.0,3.0,,,,,,,8.0,4.0,3.0,
krk,3,1,7.0,2.0,2.0,1.0,14.0,4.0,5.0,1.0,1.0,,1.0,1.0,5.0,,,5.0,,,,,,6.0,,,,,,,,,,,
wic,1,3,7.0,2.0,4.0,1.0,1.0,4.0,2.0,,1.0,16.0,5.0,1.0,,,,2.0,1.0,1.0,1.0,1.0,15.0,6.0,11.0,,,,,,,8.0,1.0,4.0,
ket,1,1,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,,,,,,3.0,3.0,,11.0,1.0,,,,,,1.0,4.0,4.0,
shk,1,1,1.0,3.0,2.0,4.0,4.0,4.0,5.0,1.0,1.0,20.0,1.0,1.0,1.0,2.0,3.0,,,,,,6.0,,2.0,1.0,,,,,,8.0,4.0,4.0,
lez,1,1,1.0,1.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,2.0,6.0,1.0,2.0,4.0,,,6.0,,2.0,1.0,,,,,,8.0,4.0,4.0,1.0
kut,2,2,7.0,4.0,4.0,1.0,1.0,4.0,5.0,2.0,1.0,16.0,5.0,1.0,,1.0,1.0,5.0,3.0,1.0,,3.0,,,,1.0,,,,,,,,,
klv,2,2,7.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,2.0,21.0,2.0,1.0,4.0,1.0,6.0,4.0,1.0,1.0,1.0,,,,,,13.0,7.0,4.0,,,,,,
ain,1,1,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,,3.0,3.0,,11.0,,,,,,,1.0,4.0,4.0,1.0
tur,1,1,1.0,1.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,,,6.0,3.0,2.0,1.0,,,,,,8.0,4.0,4.0,1.0
hzb,1,1,1.0,1.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,,6.0,1.0,2.0,4.0,,,6.0,,2.0,,,,,,,8.0,4.0,4.0,1.0
wra,1,1,,2.0,2.0,4.0,4.0,4.0,2.0,1.0,1.0,20.0,1.0,2.0,1.0,1.0,6.0,,,,,,21.0,,,2.0,,,,,,,,,
irq,1,1,1.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,2.0,6.0,2.0,1.0,,1.0,,6.0,6.0,2.0,,,,,,,8.0,4.0,4.0,
kay,3,1,7.0,1.0,2.0,4.0,4.0,4.0,5.0,1.0,1.0,,5.0,1.0,5.0,2.0,6.0,5.0,1.0,,1.0,,,6.0,,,,,,,,,,,
pau,3,2,2.0,2.0,2.0,1.0,8.0,4.0,5.0,1.0,1.0,16.0,1.0,2.0,5.0,1.0,6.0,5.0,1.0,5.0,1.0,,,6.0,,,13.0,2.0,4.0,1.0,1.0,,,,
cha,2,2,3.0,1.0,4.0,1.0,1.0,4.0,3.0,2.0,1.0,9.0,2.0,1.0,4.0,3.0,1.0,4.0,1.0,1.0,1.0,3.0,,,,1.0,,,,,,,,,
epe,1,1,1.0,2.0,2.0,4.0,4.0,4.0,2.0,1.0,1.0,20.0,1.0,2.0,1.0,1.0,6.0,5.0,3.0,5.0,,,6.0,5.0,2.0,,,,,,,8.0,4.0,4.0,
jak,2,2,3.0,1.0,4.0,1.0,1.0,4.0,3.0,2.0,2.0,9.0,2.0,1.0,4.0,1.0,6.0,4.0,1.0,1.0,1.0,3.0,,,,1.0,,,,,,,,,
chk,1,1,7.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0,2.0,6.0,5.0,7.0,1.0,2.0,,18.0,,,,,,,,,,,,2.0
brm,1,1,1.0,2.0,1.0,2.0,14.0,4.0,2.0,1.0,1.0,18.0,1.0,2.0,1.0,2.0,6.0,1.0,2.0,4.0,,4.0,16.0,6.0,5.0,1.0,,,,,,6.0,4.0,4.0,1.0
awp,1,1,1.0,1.0,3.0,1.0,14.0,4.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,2.0,2.0,,,5.0,,3.0,16.0,3.0,10.0,1.0,,,,,,5.0,4.0,4.0,
kho,1,1,1.0,1.0,1.0,4.0,2.0,4.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,,4.0,4.0,3.0,1.0,1.0,,,,,,8.0,4.0,4.0,1.0
hai,1,1,1.0,2.0,2.0,1.0,14.0,4.0,2.0,1.0,1.0,18.0,1.0,2.0,1.0,3.0,3.0,5.0,3.0,2.0,,1.0,16.0,3.0,6.0,2.0,,,,,,8.0,3.0,4.0,
abk,1,1,1.0,2.0,2.0,2.0,11.0,4.0,2.0,1.0,1.0,20.0,1.0,3.0,1.0,2.0,6.0,1.0,2.0,4.0,,,15.0,3.0,2.0,1.0,,,,,,2.0,4.0,4.0,1.0
ind,2,1,2.0,2.0,4.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,5.0,4.0,1.0,1.0,1.0,3.0,,1.0,,1.0,2.0,7.0,4.0,1.0,4.0,,,,
